aamadah,,,,,,
aledha,aledhha,aladha,,,,
alfaz,alfaaz,alfazz,alfaze,,,
ashya,,,,,,
badlao,badlaao,badlao,kammra,,,
barkaraar,barkarar,barkrar,barkarrar,barqarar,barqaraar,barqrar
baseerat,baserat,basirat,,,,
basta,bastaa,bastaay,,,,
bay takaluf,by takaluf,bey takaluf,,,,
bechara,bichara,beychara,bichaara,,,
bhejna,bhjna,bheejna,hoshyaar,,,
bilashuba,,,,,,
chalta,chalti ,chala,hissab,,,
cheezien,chezien,cheezen,chezieen,,,
chehra,chehray,chahra,chehra,,,
daby,daba,dabi,dabbay,,,
darjaat,drjaat,darjat,derjaat,,,
darmian,darmianay,darmiaan,,,,
dastyab,dastyaab,dastyb,,,,
daur,daurr,daure,dauur,daaur,,
dihaiyon,dihaiyun,dehaiyoun,,,,
fark,faraq,farak,farq,,,
fehmi,fehmi,,,,,
guzara,guzarra,guzaraa,guzzara,,,
haalat,halat,hallat,halate,,,
hakeqat,hakiqat,haqiqat,haqiqaat,,,
hawale,hawaley,hawalley,hawaleyy,,,
herat,heyrat,herrat,heratt,,,
hisaab,hisab,hisabb,,,,
hoshiyaar,hosiyaar,hoshyar,mutabaddil,,,
hukam,hukm,hukem,,,,
ilaqa,ilaqay,ilaqy,mukararr,,,
imkanat,,,,,,
intzar,intezar,intzar,intezr,,,
ishara,isharay,isharey,isharayy,ishareyy,,
istamal,istemal,istammal,istemmal,,,
jootay,joota,jootey,jootey,,,
judagana,jodagana,jodahgana,judhgana,,,
kam ,kamm,,,,,
kamati,qamati,kammati,qamaty,,,
kamra,kamray,kamre,,,,
kapray,kapry,kaprray,,,,
karkardagi,,,,,,
keemat,qeemat,kemat,qemat,kemt,kemmt,
kharcha,kharchaa,khrcha,khrchay,kharchay,,
khareedna,,,,,,
khayal,khayyal,khyal,khyl,khayaal,khyaal,
koshish,kossish,kosishe,kosish,,,
lawazmaat,lawazmat,lawazmt,lawzma,,,
lehaz,lehhaz,lehaaz,lihaaz,,,
log,,,,,,
mahwar,mahwer,mahwr,,,,
majmoi,majmooi,majjmoi,majmoii,majmooa,,
maqam,maqaam,maqqam,,,,
maqsad,maqsaad,maqsed,maqsaad,maqqsad,,
masnoaat,masnoat,masnoaat,misnoat,,,
masnoye,masnoi,masnooi,,,,
masool,masol,masoll,,,,
mausam,mausm,musam,mausame,,,
mawazna,mawazna,mawzna,takmell,,,
mayar,mayyar,mayaar,,,,
muft,mufat,muffat,bhjnaa,,,
mukaam,mukam,moukam,makam,,,
mukammal,mukamal,mukamil,mukkamal,,,
mukarar,mukarrar,mukarar,khyyal,,,
mukhtalif,mukhtallif,mukhtlif,maktalif,,,
munaqad,,,,,,
munsaliq,munsliq,munsalq,munalliq,,,
mustaqil,mustaqal,mustaqqil,mustaqqal,,,
mustaqil,mustaqqil,mustqil,mustaql,,,
mutabadil,mutabdl,mutabdill,mawaznna,,,
naseeb,naseb,nasib,neseeb,,,
nasehat,naseehat,nasihat,,,,
nataij,nataijj,nataiij,,,,
nateeja,nateja,natejja,,,,
nazuq,nzaoq,nazzuq,,,,
numaish,,,,,,
paisa,,,,,,
pasand,pasnd,pasandd,,,,
performance,,,,,,
purani,purany,puraani,,,,
qad,qadd,qaad,,,,
qawaal,qavaal,kavaal,,,,
qismati,qismt,qismmat,qismaty,,,
rakhna,,,,,,
rang,rangg,rung,raang,,,
rasmi,rassmi,rasmmi,,,,
rawayat,rawayt,rawayati,,,,
roka,rokna,roknaa,,,,
saada,sada,saadaa,,,,
sab,sb,,,,,
sabiqa,,,,,,
salahiyat,salhiyat,salahyat,ilaqayy,,,
samaan,saman,samman,,,,
samjdar,samjdaar,samjdaar,samjjdar,,,
shamil,shammil,shamml,shamill,shamel,shameel,
shauq,shaouq,shooq,shauqe,shouqe,,
siyasi,siyyasi,siyassi,,,,
soch,sooch,sochh,mufft,,,
taawun,tawun,tawwun,tawuun,,,
tadad,,,banawatt,,,
taghayyur ,,,,,,
taiz,taiiz,taeez,taiiz,,,
tajaweez,tajweez,tajaaweez,tjweez,,,
tajurbah,tajurbahh,tajurbeh,tajjurbah,,,
takmeel,takmel,taqmel,dastyb,,,
tareeqa,tareeqay,tareqa,,,,
tariqe,tareeqay,tariqay,tariqey,tariqeey,,
tarteeb,tarteb,tartib,tartibe,,,
tasweer,taswer,taswerr,,,,
tawaqqa,tawaqa,tawwaqa,,,,
tehqeqat,tehqeqaat,tahqeqat,,,,
tukraa,tukray,tukra,tukrey,,,
umeedwar,,,,,,
wabistegi,wabistagi,wabastagi,shahmil,,,
wapis,wapiis,wapes,wapse,,,
waqt,waqtt,waqqt,wqt,,,
wazan,wazn,wazzan,,,,
werzish,werzishh,werzis,,,,
zaroorat,zaroorat,zarorat,,,,
zikr,zikkar,ziker,zikerr,zikaar,,
