ai,ae,aye,,,
dain,day,daye,daiye,dy,daiy
hy,hey,hain,hai,,
gye,gy,gay,gaye,,
main,me,,,,
tha,,,,,
koi,koe,,,,
kub,kb,kab,,,
say,sy,,,,
wo,who,,,,
bhi,b,bhe,,,
aur,or,,,,
sab,sb,sub,,,
yeh,ye,,,,
rha,,,,,
hota,hta,,,,
ho,hon,,,,
ga,,,,,
ka,,,,,
le,li,ly,,,
lye,liye,,,,
kr,kar,ker,,,
par,per,pr,,,
hy,hain,hay,,,
kiss,kis,kes,,,
hotay,,,,,
waisay,wasay,,,,
gya,geya,gaya,,,
kch,kuch,koch,,,
ab,ub,ob,,,
thay,thay,,,,
haan,hn,han,ha,,
toh,to,,,,
is,es,,,,
mil,mell,mill,mel,,
jo,joh,,,,
kya,kiya,,,,
thi,the,,,,
se,,,,,
pe,,,,,
phr,phir,phir,,,
wala,,,,,
us,os,,,,
na,nae,nah,,,
ny,nay,ney,,,
hun,,,,,
hum,hm,ham,,,
ja,jah,,,,
rahay,rhay,rhy,rehay,,
abi,abhi,abhe,abi,,
uski,usqe,uske,usqi,,
han,,,,,
acha,,,,,
nai,,,,,
sent,,,,,
photo,,,,,
you,,,,,
kafi,,,,,
gai,,,,,
rhy,,,,,
kuch,,,,,
jata,,,,,
aye,,,,,
ya,,,,,
dono,,,,,
hoa,,,,,
aese,,,,,
de,,,,,
wohi,,,,,
jati,,,,,
jb,,,,,
krta,,,,,
lag,,,,,
rahi,,,,,
hui,,,,,
karna,,,,,
mujhe,,,,,
gi,,,,,
hova,hua,huwa,hva,,
yehe,yhi,yahi,yahe,,
jana,jna,janah,,,
jeye,jiye,,,,
chal,,,,,
